date,market_return,baseline_position,baseline_return,baseline_equity,benchmark_equity,threshold_0.00_hold_1d_position,threshold_0.00_hold_1d_return,threshold_0.00_hold_1d_equity,threshold_0.00_hold_3d_position,threshold_0.00_hold_3d_return,threshold_0.00_hold_3d_equity,threshold_0.05_hold_1d_position,threshold_0.05_hold_1d_return,threshold_0.05_hold_1d_equity,threshold_0.05_hold_3d_position,threshold_0.05_hold_3d_return,threshold_0.05_hold_3d_equity
2023-11-13,-0.0085836909871244,0.5,-0.0042918454935622,1.5589333006642663,1.040716337219135,0.5,-0.0042918454935622,1.5896971433395262,0.5,-0.0042918454935622,1.6382938336911859,0.5,-0.0042918454935622,1.5782553092213836,0.5,-0.0042918454935622,1.5830208679922004
2023-11-14,0.0142857142857142,0.5,0.0071428571428571,1.570068538526154,1.0555837134651227,0.5,0.0071428571428571,1.6010521229348085,0.5,0.0071428571428571,1.6499959325032658,0.5,0.0071428571428571,1.5895285614301078,0.5,0.0071428571428571,1.5943281599064303
2023-11-15,0.0030409731113956,0.5,0.0015204865556978,1.5724558066305068,1.0587937151545972,0.5,0.0015204865556978,1.6034865011627022,0.5,0.0015204865556978,1.652504729135593,0.5,0.0015204865556978,1.5919454182376598,0.5,0.0015204865556978,1.5967523144389382
2023-11-16,0.0090420722302007,0.5,0.00452103611510035,1.5795649361216824,1.0683674044039075,0.5,0.00452103611510035,1.6107359215445345,0.5,0.00452103611510035,1.659975762696389,0.5,0.00452103611510035,1.5991426609667807,0.5,0.00452103611510035,1.6039712893193865
2023-11-17,-0.0001054240683148,0.5,-5.27120341574e-05,1.5794816740408157,1.0682547727656804,0.5,-5.27120341574e-05,1.6106510163776195,0.5,-5.27120341574e-05,1.6598882619972852,0.5,-5.27120341574e-05,1.5990583669042133,0.5,-5.27120341574e-05,1.6038867407299964
2023-11-20,0.0092782961674309,0.5,0.00463914808371545,1.5868091234222057,1.078166356929672,0.5,0.00463914808371545,1.6181230649537819,0.5,0.00463914808371545,1.6675887294471115,0.5,0.00463914808371545,1.606476635462786,0.5,0.00463914808371545,1.6113274088297505
2023-11-21,-0.0042308696787672,1.0,-0.004480869678767201,1.579698838535072,1.0736047755814713,1.0,-0.004480869678767201,1.6108724663755167,1.0,-0.004480869678767201,1.6601164816726781,1.0,-0.004480869678767201,1.5992782230172928,1.0,-0.004480869678767201,1.6041072607009588
2023-11-22,0.0035144775493076,0.5,0.0015072387746538,1.5820798218767878,1.0773779354620818,0.5,0.0015072387746538,1.61330043581786,0.5,0.0015072387746538,1.662618673604297,0.5,0.0015072387746538,1.6016887171664838,0.5,0.0015072387746538,1.6065250333629908
2023-11-24,-0.0070043385081804,0.5,-0.0035021692540902,1.5765391105670943,1.069831615700861,0.5,-0.0035021692540902,1.6076503846339283,0.5,-0.0035021692540902,1.6567959016043237,0.5,-0.0035021692540902,1.5960793321866,0.5,-0.0035021692540902,1.6008987107852206
2023-11-27,-0.0009475180291624,0.5,-0.0004737590145812,1.5757922109516231,1.0688179309568164,0.5,-0.0004737590145812,1.606888745771913,0.5,-0.0004737590145812,1.6560109796106173,0.5,-0.0004737590145812,1.59532317521499,0.5,-0.0004737590145812,1.6001402705895547
